"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"ASCS Infographic 2017-18","2018","Report","This infographic summarises the results for the ASCS for 2017-18, including the ASCOFs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/ASCS_Infographic_1718.pdf","Adult Care","Stay Well",NA,NA,NA,NA
"ASCS Report 2017-18","2018","Report","This report summarises the results for the ASCS for 2017-18, including the ASCOFs.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/ASCS_Report_1718.pdf","Adult Care","Stay Well",NA,NA,NA,NA
"NICE Clinical Evidence Summary - Obesity",NA,"Link","National Institute for Health and Care Excellence summary for Obesity.","https://cks.nice.org.uk/topics/obesity/#!topicSummary","Adult Healthy Weight","Stay Well",NA,NA,NA,NA
"Tier 3 Weight Management Service Derbyshire",NA,"Link","Information about Tier 3 specialist weight management services.","https://dchs.nhs.uk/our-services-and-locations/a-z-list-of-services/weight-management-service","Adult Healthy Weight","Stay Well",NA,NA,NA,NA
"Patterns and trends in excess weight among adults in England UKHSA","2021","Link","UK Health Security Agency blog on the patterns and trends in excess weight among adults in England","https://ukhsa.blog.gov.uk/2021/03/04/patterns-and-trends-in-excess-weight-among-adults-in-england/","Adult Healthy Weight","Stay Well",NA,NA,NA,NA
"PHE Statistics on Obesity, Physical Activity and Diet","2019","Link","Public Health England statistics on obseity, physical activity, and diet. England 2019.","https://www.gov.uk/government/statistics/statistics-on-obesity-physical-activity-and-diet-england-2019","Adult Healthy Weight","Stay Well",NA,NA,NA,NA
"Live Life Better Derbyshire",NA,"Link","Live Life Better Derbyshire provides free help and advice to increase physical activity, quit smoking, and lose weight (Tier 2 weight management services).","https://www.livelifebetterderbyshire.org.uk/services/getting-active/getting-active.aspx","Adult Healthy Weight","Stay Well","Physical Activity","Smoking",NA,NA
"Obesity: identification, assessment and management | NICE","2023","Report","NICE Guideline - Obesity: identification, assessment and management","https://www.nice.org.uk/guidance/cg189/chapter/Recommendations","Adult Healthy Weight","Stay Well",NA,NA,NA,NA
"Derbyshire County and Derby City Air Quality Strategy 2020-2030","2023","Strategy","Air quality strategy for Derby and Derbyshire 2020-2030","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/health_protection/air_quality_strategy_2020-2030_(2023_refresh).pdf","Air Pollution","Stay Well",NA,NA,NA,NA
"Health Protection Strategy 2023","2023","Strategy","Health Protection Strategy 2023-2028. This strategy sets out our health protection priorities in Derby and Derbyshire and clarifies and drives the work of the Health Protection Board. It also sets out how we are going to ensure delivery the strategy and measure success.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/health_protection/derby_and_derbyshire_health_protection_strategy_2023.pdf","Air Pollution","Stay Well","Flu","AMR",NA,NA
